Names;Links;Description
Dyno Robotics;http://www.dynorobotics.se;Develop custom robotics and AI solutions. Doing everything from natural language processing and outdoor navigation, to hardware construction and electronics. They have many [ROS](https://dynorobotics.se/ros/) projects under their belts, and have even created a popular ROS2 Unity integration.
E-COBOT;https://www.e-cobot.com;Specialize in cobotics and artificial intelligence\uc0\u8203� solution. They design, manufacture and integrate on specification.
Easy Robotics;https://easyrobotics.biz/;Manufacturer and provider of robotic solutions. Their ER200 robot is built out of MiR and UR robots, which are ROS-related.
EasyMile;http://www.easymile.com;Provide software powering autonomous vehicles and smart mobility solutions. The [software](https://www.easymile.com/technology/how-it-works) for driverless solutions processes data fed by any platform\'92s sensor set, analyzes it, and teaches the vehicle how it is supposed to perform. ROS drivers fo EasyMile (see [`EasyMile`](https://github.com/EasyMile)).
Easymov Robotics;http://www.easymov.fr;Specialized in conception of software and electronics for robotics. Easymov develop solutions to make R&D industrial engineers, robotics researchers and robot builders work easier and help them accelerate their workflow. Sponsor of the [ROScon](https://roscon.ros.org/fr/2019/)� 2019. ROSCon is a developers conference [^168].
eBots;http://www.ebots.com;Electronic or computerized robots designed to perform specific tasks, often in industries such as manufacturing, healthcare, and logistics. Hiring ROS engineers ([Senior Robotics Engineer - Motion Planning](https://jobs.lever.co/eBots/3ba1a2ec-b29f-407e-ba51-1331a6a17886)).
EikonTech;http://www.eikontech.it;Provider of engineering services intended to solve challenges in the field of electromagnetics. The company's services use machine vision and deep learning algorithms in the strategifc domains to analyze large amounts of heterogeneous data collected through different sensors and provide insights to decision-makers. A set of plugins for publishing and subscribing to sensor_msgs/Image topics in representations other than raw pixel data for EikonTech (see [`eikontech/image_transport_plugins`](https://github.com/eikontech/image_transport_plugins)).
Ekobot;https://www.ekobot.se/;Offer precision agriculture solutions based on artificial intelligence and autonomous mobile robot platforms. Hiring engineers with experience in ROS ([DevOps Engineer](https://discourse.ros.org/t/devops-engineer-ekobot-sweden/22640)).
Ekumen;https://www.ekumenlabs.com/;Specializes in providing software, mobile app development, embedded systems, and robotics solutions. ROS drivers (see [`ekumenlabs`](https://github.com/ekumenlabs)).
Elephant Robotics;https://www.elephantrobotics.com/en/;Design and production of robotics, development and applications of operating system and intelligent manufacturing services in industry, commerce, education, scientific research, home and etc. myCobot ROS2 package (see [`mycobot_ros2`](https://github.com/elephantrobotics/mycobot_ros2)).
Elroy Air;http://elroyair.com;Aerospace company that specializes in autonomous vertical takeoff and landing (VTOL) cargo drones. Hiring ROS engineers ([Software Engineer](https://startup.jobs/software-engineer-robotics-systems-elroy-air-3001732)).
Embark Trucks;http://embarktrucks.com/;Develop self-driving truck [technology](https://embarktrucks.com/technology/) designed for freight and logistic services. ROS drivers (see [`embarktrucks`](https://github.com/embarktrucks)).
embotech;http://www.embotech.com/;Make software for autonomous driving systems for private grounds and smart factories. Hiring engineers with experience in ROS ([Software developer](https://www.embotech.com/wp-content/uploads/Robotics_Software_Internship_Job_Ad_March2020.pdf)).
Emesent;http://www.emesent.com/;Develope drone technology designed for the collection and analysis of critical data. The company's platform helps in LiDAR-mapping and autonomy payload which provides a complete service for the inspection and mapping of underground assets. Hiring engineers with experience in ROS ([Software and Embedded Systems Engineers](https://discourse.ros.org/t/software-and-embedded-systems-engineers-emesent-australia/25938)).
Emlid;https://emlid.com/;Develop GNSS receivers suitable for land surveying, mapping, and navigation. General scheme of [ROS](https://docs.emlid.com/navio2/ros/) incorporated in Emlid Raspbian.
Enabled Robotics;https://www.enabled-robotics.com/;Specializes in mobile manipulator robots that integrate mobile robots with robotic arms. The [ER-FLEX](https://www.enabled-robotics.com/erflex) is a collaborative mobile manipulator that comes with full [ROS](https://www.enabled-robotics.com/research) documentation.
Energid;https://www.energid.com;Solve robotics challenges by offering software, products, and service. Robotics software simulates and regulates kinematics and dynamics for many kinds of robotics applications, and its 3D machine vision software allows autonomy. ROS plugins and applications for use with a ROS enabled Energid Actin SDK (see [`ActinROS`](https://github.com/Energid/ActinROS))[^106].
Enova Robotics;https://www.enovarobotics.eu/;Is a company specialized in mobile robot development and robotics R&D projects. The code running [Mini Lab](https://www.enovarobotics.eu/other-products/) was based on the [Robotics Operating System (ROS)](https://emtechmena.com/enova-robotics-tunisian-robots-global-demand/).
Enstein\'99 Robots & Automations Pvt Ltd;http://www.enstein.in/;Provide industrial solutions by designing and manufacturing industrial robots. Hiring ROS engineers ([R&D Robotics ROS Developer](https://www.linkedin.com/jobs/view/3774196027)).
ENWAY;http://www.enway.ai;Build the software platform to turn manual utility machines into autonomous utility machines. opencv_apps provides various nodes that run internally OpenCV's functionalities and publish the result as ROS topics for ENWAY (see [`enwaytech/opencv_apps`](https://github.com/enwaytech/opencv_apps)).
eProsima;https://www.eprosima.com/;Provides insight to develop distributed systems recommending the right DDS middleware products and supporting in all the stages of the development. ROS drivers for eProsima middleware (see [`eProsima`](https://github.com/eProsima))[^105].
Ericsson;https://www.ericsson.com/en;Provide a range of products and services for the telecoms industry, including network equipment, software, and professional services. The company use robots in its research and development division or in its manufacturing processes.. The ROS Middleware (rmw) Interface(see [`ros2-rmw`](https://github.com/Ericsson/ros2-rmw)).
Erthos;https://www.erthos.com/;Solar power deployment platform. Behind \'93ErthBot\'94 autonomous robot which cruises over and cleans the solar panels in our solar fields. Hiring ROS engineers ([Senior Software Engineer](https://discourse.ros.org/t/pre-ipo-solar-energy-company-erthos-seeking-senior-software-engineer-c-python-ros/26224)).
eSOL;http://www.esol.com;Is a company in the fields of embedded systems and Industrial IoT that seeks to create a safer and better connected society using its innovative computer technologies. Sponsor of the [ROScon](https://roscon.ros.org/2022/).
Eternal Robotics;https://eternalrobotics.com/;Provide robotics engineering, optimization, software, and product development services. Hiring ROS engineers ([Embedded Firmware Engineer](https://eternalrobotics.com/portfolio/firmware-engineer/)).
Eurogroep;http://www.eurogroep.com;Industrial corporation devoted to the development, production, and sales of high-tech industrial equipment. Hiring ROS engineers ([ROS Programmeur](https://www.eurogroep.com/jobs/rosprogrammeur)).
EVAR;https://www.evar.co.kr/;Develope autonomous EV recharging robot. Algorithm-agnostic computer vision message types for ROS for EVAR (see [`EvarClab/vision_msgs`](https://github.com/EvarClab/vision_msgs)).
Evitado Technologies;https://evitado.io/;Develop temporarily installable collision avoidance systems using the industries latest sensor technologies. Hiring ROS engineers ([Software Engineer](https://evitado.io/careers/)).
Evocargo;http://www.evocargo.com/;A zero-emissions cargo transportation service in supervised areas. Self-driving vehicles and advanced robotics technologies for efficient logistics. ROS drivers for Evocargo (see [`Evocargo`](https://github.com/Evocargo/ros-bag-migration)).
Exobotic Technologies;http://www.exobotic.com/;Develop state-of-the-art autonomous robots for the most challenging applications. Hiring engineers with experience in ROS ([Robotics Software Engineer](https://discourse.ros.org/t/exobotic-technologies-belgium-is-hiring-a-robotics-software-engineer/22888)).
Expleo Group;https://expleo.com/global/en/;A global engineering, technology and consulting service provider that partners with leading organisations to guide them through their business transformation, helping them achieve operational excellence and future-proof their businesses. Hiring ROS talent [^292].
Eyeware;https://eyeware.tech;Is an tech provider of eye tracking solutions for webcams and 3D cameras. Eyeware ROS utilities for 3D eye tracking (see [`eyeware-ros`](https://github.com/eyeware/eyeware-ros)).
eYs3D Microelectronics, Co.;https://www.eys3d.com/;Is a silicon-centric and AI-enabling solutions provider specializing in computer vision and 3D sensor fusion processing for applications such as robotics and VR/AR systems. Sponsor of the [ROScon](https://roscon.ros.org/2022/).
e-con Systems;https://www.e-consystems.com;Provide end-to-end camera solutions for applications including Autonomous Mobile Robots (AMRs), autonomous shopping, Point of Care (PoC) devices, smart traffic, autonomous agriculture & smart farming, sports broadcasting & analytics, life sciences, and more. ros2 vision_opencv contains packages to interface ROS 2 with OpenCV for e-con Systems (see [`econsystems/vision_opencv`](https://github.com/econsystems/vision_opencv)).
E-TERRY;https://e-terry.de/;Develop small-scale agricultural machinery. Hiring ROS engineers ([Software Engineer](https://e-terry.de/vacancies/)).
ez-Wheel;https://ez-wheel.com;The [SWD\'ae StarterKit](https://ez-wheel.com/en/development-kit-for-agv-and-amr/) is a robot devlopment kit using SWD\'ae drives. It tackles AGVs and AMRs industrial applications, providing a unique solution for safety requirements related to the ISO 3691-4 standard. [ROS and ROS2 diffential driver](https://github.com/ezWheelSAS) are available.
F&P Robotics;http://www.fp-robotics.com;Develop humanoid robots for personal and professional use. [ROS-Package](https://www.fp-robotics.com/en/2016/12/ros-package-for-p-rob/) for P-Rob.
Fairmat;https://www.fairmat.tech/;Bring a way to recycle carbon fiber composite. Use robotics to automate recycling processes. Hiring engineers with experience in ROS ([Vision Robotics R&D Engineer](https://www.linkedin.com/jobs/view/ing%C3%A9nieur%C2%B7e-r-d-robotique-vision-h-f-at-fairmat-3496425966/)).
FarmWise;http://farmwiselabs.com;Provide technology-based services that allow farmers to streamline farm operations and increase food production efficiency.� Code for working with images in ROS (see [`image_common`](https://github.com/FarmWise/image_common)).
FastLogic;http://www.fastlogic.pl;Provide technology and software solutions. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.
FastSense;http://www.fastsense.tech;Develop autonomus navigation solutions for in-door drones and wheeled robots and applied AI algorithms for data processing. ROS drivers for FastSense (see [`FastSense`](https://github.com/FastSense)).
Fieldwork Robotics;https://fieldworkrobotics.com/;Transforming agriculture with selective and autonomous harvesting robots. Hiring engineers with experience in ROS ([Careers](https://fieldworkrobotics.com/careers/)).
Filics;http://www.filics.eu;Develop autonomous mobile robots by reducing current solutions to a minimum. Their platform provides a simple, flexible and fast solution to automate all ground-based intra-logistics processes. ROS drivers for Filics (see [`FutureInLogistics`](https://github.com/FutureInLogistics)).
FireFly Automatix;https://fireflyautomatix.com;Develop advanced robotics and automation solutions for industrial and commercial applications. They offer a wide range of services, including design and engineering, software development, system integration, and testing and validation. Their products and solutions are used in industries such as manufacturing, logistics, and agriculture. Hiring ROS engineers ([Robotics Software Engineer](https://www.wayup.com/i-j-FireFly-Automatix-405919514093302/)).
Fixposition;https://www.fixposition.com/;Offer precise and compact positioning sensors for autonomous guidance systems. ROS2 drivers for Fixposition (see [`fixposition`](https://github.com/fixposition)).
Fixstars Corporation;https://www.fixstars.com/en;Provide solutions that harness the high computing performance of multi-core technology. Sponsor of the [ROScon](https://roscon.ros.org/jp/2019/) JP 2019. ROSCon is a developers conference [^166].
Fizyr;http://www.fizyr.com;Design vision software product for automated picking and stacking items, parcels, depalletizing, and trailer unloading. PCL (Point Cloud Library) ROS interface stack for Fizyr (see [`fizyr-forks/perception_pcl`](https://github.com/fizyr-forks/perception_pcl)).
Flanders Make;http://www.flandersmake.be;Work with companies and organizations in various industries, including automotive, aerospace, and medical devices, to help them incorporate innovative technologies and processes into their manufacturing operations. They offer proof-of-concept demonstrators, they allow to gauge feasibility, validate the cost-benefit analysis and ensure technology acceptance. For this, they use various unique software and hardware tools in this process like [ROS](https://www.flandersmake.be/en/research/services/human-robot-collaboration).
Flexiv;https://www.flexiv.com;Building collaborative robotic arms with AI capabilities. So called adaptive robots. Uses ROS for development, offers ROS 2 drivers for their robot arm[^280] and commits to supporting ROS 2 full integration.
FloMobility;https://flomobility.com;Flo Mobility is a vision-based autonomy technology company based out of Bangalore using ROS. It makes autonomy hardware and software with a sensor suite that can be retrofitted with any vehicle and equipment to make them autonomous. [FloEdge One](https://edge.flomobility.com/) is compatible with [ROS 2](https://edge.flomobility.com/faq/). Hiring ROS engineers ([Robotics Intern](https://www.linkedin.com/jobs/view/3439699021/?refId=UL%2BtF7fQSoGc5y9WHl6gLg%3D%3D&trackingId=UL%2BtF7fQSoGc5y9WHl6gLg%3D%3D)).
Flux Auto;https://fluxauto.xyz/;Develop a software framework that allows developers to build self-driving cars. Hiring ROS engineers ([Control System Engineer](https://cutshort.io/job/Control-System-Engineer-Bengaluru-Bangalore-Flux-Auto-kC1ZJTCb)).
FlytBase;http://flytbase.com;Provide unmanned aerial vehicle (UAV) or drone software solutions. Their offerings include a drone operating system, cloud-based fleet management, and a drone app marketplace. FlytOS is built on [ROS](https://flytbase.com/flytos/) (Robot Operating System) and Linux, making it an ideal platform for robust and scalable drone applications.
Formant;https://formant.io//;Provide the analytics platform, which presents application data in a single Web-based user interface. Formant\'92s [cloud](https://formant.io/product/) software enables organizations to monitor robot fleets in real time [^84]. ROS package contains examples for integrating with the Formant agent in a ROS context (see [`formant-ros`](https://github.com/FormantIO/formant-ros)).
Forssea Robotics;http://www.forssea-robotics.fr;Develop autonomous underwater robots (AUVs) for various applications, such as environmental monitoring, ocean exploration, and oil and gas inspection. ROS Drivers for Forssea Robotics (see [`forssea-robotics`](https://github.com/forssea-robotics)).
Fortem Technologies;http://www.fortemtech.com;Provide real-time intrusion detection and detect-and-avoid solutions. Hiring ROS engineers ([UAV Systems Integration Engineer](https://portal.zoniac.com/jsp/careers/jobInformationDetails.jsp?publishToEditPage=1&jobId=529402&loginEmployeeId=0&companyId=1802&enableApply=Yes&fromApi=0)).
Foxglove;https://foxglove.dev/studio;Open source robotics visualization and debugging tool that combines a list of ROS tools (see [`foxglove`](https://github.com/foxglove)).
Franka Emika;http://www.franka.de;Develop advanced robotic systems for industrial and commercial applications. They are known for their lightweight collaborative robots, or cobots, which are designed to work alongside humans in a wide range of industries, including manufacturing, healthcare, and logistics. ROS drivers for Franka Emika (see [`frankaemika`](https://github.com/frankaemika)).
Fyusion;http://fyusion.com/;Develop products powered by 3D computer vision and machine learning. Hiring engineers with experience in ROS ([Software Systems Engineer](https://discourse.ros.org/t/software-systems-engineer/22468)).
Gaia Platform;https://www.gaiaplatform.io/;Create a platform for developing applications for Autonomous Machines. You can integrate multiple system components in a common setting, from machine learning functions to ROS-enabled actuator. And can run it all without the need for constant cloud connectivity. ROS drivers (see [`gaia-platform`](https://github.com/gaia-platform)).
Gaitech Robotics;https://www.gaitech.com/;Integrating, distributing, manufacturing and supporting robotics products based on ROS. Promotion and education of ROS in Asia. Working in a Robot Nervous System for robotics research , education and product development within ROS Framework. ROS packages (see [`gaitech-robotics`](https://github.com/gaitech-robotics))[^103].
Gatik;http://www.gatik.ai;Develop technology for autonomous light & medium duty trucks for B2B short-haul logistics. It specializes in the fields of artificial intelligence, automotive, and logistics. ROS communications-related packages (see [`ros_comm`](https://github.com/StarskyRobotics/ros_comm)).
GE;http://www.ge.com;Industrial machinery manufacturing company. Hiring engineers with experience in ROS ([Lead Engineer - Autonomous Systems - Aerospace Research](https://www.linkedin.com/jobs/view/3533778141/?alternateChannel=search&refId=EYJR%2BPifQQW5TzWDJuKqPg%3D%3D&trackingId=8qZGnrcjBVosew643yGhJw%3D%3D&trk=d_flagship3_search_srp_jobs)).
Gecko Robotics;https://www.geckorobotics.com/;Creates *Gecko* climbing robot which collects and makes useful physical data to protect critical infrastructure. Hiring engineers with experience in ROS ([Robotics Localization Engineer](https://www.ycombinator.com/companies/gecko-robotics/jobs/w3XAzwe-robotics-localization-engineer)).
Geek+;https://www.geekplus.com/;Develop autonomous mobile robots for warehouse, factory, and supply chain management. Hiring engineers with experience in ROS ([Senoir System Engineer](https://discourse.ros.org/t/senoir-system-engineer/23263)).
Genrobotics;https://www.genrobotics.org;Specialized in the design and development of robotic solutions. Combines the use of robotics and artificial intelligence. Hiring ROS engineers ([Robotic Software Engineer(ROS)](https://ksycjobs.kerala.gov.in/users/job_details/NDA1ODNfMg==)).
Gestalt Robotics;http://www.gestalt-robotics.com;Software and solution provider working at the interface of industrial automation and artificial intelligence. Their cloud navigation is based on microservice architectures. They support modern microservice architectures and network them using standardized interfaces, efficient data management, and real-time optimization. They support, among other things, OPC UA, [ROS](https://www.gestalt-robotics.com/en/home), [ROS2](https://www.gestalt-robotics.com/en/home), Time Sensitive Networking, and Fieldbus systems.
Gideon;https://www.gideon.ai/;Autonomous mobile robots that automate manual material-handling jobs in manufacturing, logistics, warehousing, and retail. Using ROS for general engineering and navigation aspects[^242]. Company worker works as a [ROS developer](https://www.linkedin.com/in/pevec-luka/).
GIM Robotics;http://gimrobotics.fi/;Deliver software that makes mobile working machines in all industries more intelligent, precise and efficient. Compatible with several supported interfaces such as: [ROS](https://gimrobotics.fi/offering/localisation/), ROS2, VDA5050 and Fleet Management Systems.
GITAI;http://gitai.tech/;Develop humanoid robots for use in space. The goal is to create robots that can perform tasks that are too dangerous, difficult, or time-consuming for human astronauts to perform in space. Hiring ROS engineers ([Robotics Software Engineer](https://gitai.tech/jobs/robotics-software-engineer/)).
Glarus Technology;http://glarustech.com/;Specialize in web, mobile, embedded, IoT, robotics, drone and automotive solutions. Hiring ROS engineers ([SENIOR ROBOTICS ENGINEER](http://glarustech.com/careers.html)).
Glidewell Laboratories;https://glidewelldental.com/;Manufacture dental implants and tooth replacement systems. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^138].
Globotix;https://globotix.sg/;Facilities management robotics solution focused on delivering customised solutions tailored to the needs of clients. Its unique modular system allows for multiple functionality to be integrated into the same base system whilst providing flexibility for the client to choose the best suite of tools suited to their requirements. Hiring engineers with experience in ROS ([ROBOTICS SOFTWARE ENGINEER](https://www.mycareersfuture.gov.sg/job/engineering/robotics-software-engineer-globotix-9ae3b549f2f3000c9cdcee3a0af25fe2)).
Gofore;http://www.gofore.com;Provide software development, design, and consulting services to clients. It focuses on cloud, data analytics, and user experience design services. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.
Gravis Robotics;https://gravisrobotics.com/;Develop autonomy for heavy machinery to automate an industry with a slowly rising productivity. Hiring engineers with experience in ROS ([Field Engineer](https://discourse.ros.org/t/field-engineer-at-gravis-robotics-zurich-switzerland-robotics-heavy-construction-machines/34917)).
GrayMatter Robotics;https://www.graymatter-robotics.com/;Develop robotic brains for industrial robots designed to allow them to transform into smart assistants for high-mix low-volume manufacturing applications. Hiring engineers with experience in ROS ([Field Application Engineer](https://boards.greenhouse.io/graymatterrobotics/jobs/4186323005)).
Greenroom Robotics;https://www.greenroomrobotics.com/;Australian robotics company developing advanced maritime autonomy for vessels and AUVs as well as ROS-based perception pipelines for detecting, classifying, tracking and geolocating objects from land, sea or sky. ROS drivers for Greenroom Robotics (see [`Greenroom-Robotics`](https://github.com/Greenroom-Robotics)).
Greenzie;https://www.greenzie.com/;Develops software for autonomous robotic lawn mowers. Its retrofit hardware kit and cloud-based software for commercial lawn mowers add self-driving to the existing equipment. ROS drivers for Greenzie software (see [`Greenzie`](https://github.com/Greenzie))[^102].
GreyOrange;https://www.greyorange.com/;Produces software and mobile robotics to modernize order fulfillment and optimize warehouse operations in real time. Their software runs on ROS[^199], and their robots are in their fourth or fifth generation.
Griffin;http://griffin.ethz.ch;Develop a robot capable of gripping and manipulating objects in flight. ROS packages for the STOMP planner (see [`Griffin-Focus-Project/stomp_ros`](https://github.com/Griffin-Focus-Project/stomp_ros)).
GROOVE X;http://www.groove-x.com/;Develop household robot that inspires real affection. Sponsor of the [ROScon](https://roscon.ros.org/jp/2018/) JP 2018. ROSCon is a developers conference [^170].
GurumNetworks;https://gurum.cc/sol_robotics_eng;Specializes in network solutions for data distribution service protocol software. [GurumDDS](https://gurum.cc/gurumdds_eng) is a DDS that supports the [robot operating system (ROS2)](https://gurum.cc/sol_robotics_eng) and provides a GurumDDS Routing Service (RS) optimized for remote communication with the robot.
Halodi Robotics;https://www.halodi.com/;Produce humanoid robots. Cracking the code and engineered a safe solution (named [EVE](https://www.halodi.com/ever3)). ROS drivers for Halodi Robotics (see [`Halodi`](https://github.com/Halodi)).
Han's Robot;https://www.hansrobot.net/index;Manufacturing automation machinery based on ROS. ROS package for Han's Robot (see [`hans-robot`](https://github.com/hans-robot))[^100].
Harting;http://www.harting.com;Electronic manufacturing company that specializes in the fields of electrical, electronic and optical connection, transmission and networking, as well as in manufacturing, mechatronics and software creation. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^139].
Hatchbed;https://hatchbed.com/;Provide customized solutions and research and development for the dynamic global industries of self driving and autonomous vehicles, robotics, data analysis, AI and software systems. An image processing pipeline for ROS for Hatchbed (see [`hatchbed/image_pipeline`](https://github.com/hatchbed/image_pipeline)).
HAVELSAN;http://www.havelsan.com.tr;Provide defense electronics, information technology, and simulation systems. It is mainly focused on the development of military software and systems, including simulation and training systems, air defense systems, command and control systems, and various software products. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.
HEBI Robotics;http://www.hebirobotics.com;Build intelligent and connected modular building blocks for creating robotic solutions. Offer ROS APIs[^186] as well ad documentation and examples[^187].
Helgen Technologies;https://www.helgen.tech;Develop advanced navigation and guidance systems for a variety of industries. They use the Nav2 Stack to create autonomous navigation solutions for unmanned aerial vehicles (UAVs), autonomous underwater vehicles (AUVs), and ground vehicles (see [`Helgen-Tech/navigation2`](https://github.com/Helgen-Tech/navigation2)).
Heliogen;https://heliogen.com/;Heliogen\'92s modular solution is designed to replace the use of fossil fuels in demanding operations. By combining AI-controlled concentrating solar thermal technology with long-duration thermal energy storage, Heliogen can provide dispatchable renewable energy for heat and energy-intensive operations.. Hiring engineers with experience in ROS ([Software Engineer](https://pasadena-ca.geebo.com/jobs-online/view/id/1080713062-software-engineer-at-heliogen-/)).
HelloWorld Robotics;https://www.helloworldrobotics.xyz/;Design and build an autonomous delivery network and infrastructure to provide a smarter, cheaper and safer last mile delivery solution. ROS drivers for HelloWorld Robotics (see [`HelloWorldRobotics`](https://github.com/HelloWorldRobotics)).
Hello Robot;https://hello-robot.com/;Design robots that help people in their homes and workplaces, it features open-source software with both Python and ROS interfaces, extensible and customizable hardware. ROS2-related code for the Stretch RE1 mobile manipulator from Hello Robot Inc (see [`stretch_ros2`](https://github.com/hello-robot/stretch_ros2))[^99].
HERACLES Robotics;https://www.heracles-robotics.com/en;Develop a navigation and autonomous system adapted to existing equipment to carry out earthmoving operations without a machine operator. Hiring ROS engineers ([engineers](https://www.linkedin.com/jobs/view/contr%C3%B4le-robotique-autonome-avec-apprentissage-par-renforcement-profond-at-heracles-robotics-3377947628/?originalSubdomain=fr)).
HERE Technologies;http://here.com;Provide mapping and location-based services to businesses and individuals through its cloud-based platform. HERE Technologies' services include maps and location data, real-time traffic information, indoor and outdoor positioning, and location-based advertising. Company worker works as a [ROS developer](https://www.linkedin.com/in/kevin-qi-l-9abbb55/?trk=public_profile_browsemap).
Hesai Technology;http://www.hesaitech.com/en;Design [laser sensors](https://www.hesaitech.com/en/AT128) for robots and self-driving cars. ROS drivers for Hesai Technology sensors (see [`HesaiTechnology`](https://github.com/HesaiTechnology)).
Hexagon's Autonomy & Positioning division;https://hexagon.com;Global leader in software and hardware solutions. Their Positioning Intelligence division (Hexagon PI) acquired AutonomousStuff[^264] and leverages ROS in their automotive solutions. Hiring engineers with experience in ROS ([Autonomy Field Applications Engineer](https://www.linkedin.com/jobs/view/3328074287/?alternateChannel=search&refId=4xMUNZ1e0oVTxklhNaDLJA%3D%3D&trackingId=Plqkxp66PdCsTlQlKIcrKw%3D%3D&trk=d_flagship3_search_srp_jobs)).
Hippo Harvest;https://www.hippoharvest.com/;A controlled environment agriculture (CEA) company that leverages plant science, machine learning and robotics to sustainably grow vegetables in greenhouse environments. Seeking for ROS roboticists to design, implement, deploy, and maintain software/systems for all things related to robotics/automation at their 150,000 square foot greenhouse in Pescadero, CA [^268]
Hiwonder;https://www.hiwonder.hk/;Produce educational robotics kits for children and hobbyists. Hiwonder JetHexa [ROS](https://hiwonder.hk/products/hiwonder-jethexa-ros-hexapod-robot-kit-powered-by-jetson-nano-with-lidar-depth-camera-support-slam-mapping-and-navigation?variant=39876752638039) Hexapod Robot Kit, powered by NVIDIA Jetson Nano and based on ROS.
Hokuyo Automatic;http://www.hokuyo-aut.jp;Is a developer of optical data transmission devices, photo sensors, auto counters, and automatic doors. A ROS node to provide access to SCIP 2.0-compliant Hokuyo laser range finders� (see [`hokuyo_node`](https://github.com/ros-drivers/hokuyo_node)). A driver for [Hokuyo 2D range sensors (LiDAR)](https://www.hokuyo-aut.jp/topics/detail.php?id=66) that works with [ROS2](https://github.com/UrgNetwork/urg_node2).
Honda Research Institute;https://usa.honda-ri.com/;Research in Artificial Intelligence and intelligent systems. Sponsor of the [ROScon](https://roscon.ros.org/jp/2018/) JP 2018. ROSCon is a developers conference [^170].
Honeybee Robotics;https://www.honeybeerobotics.com/;Develop robotics systems for the space industry, includingactuators, drills, and sample collection systems for several Mars missions. ROS packages for interfacing with a NASA cFS system (see [`roscfs`](https://github.com/honeybee-robotics/roscfs))[^98].
Honeywell;https://www.honeywell.com/;Offer energy, safety, and security solutions and technologies. The company does have a presence in the robotics industry through its products and solutions for various applications. Drivers for Honeywell IMU (see [`hg_node`](http://wiki.ros.org/hg_node)).
HOPE Technik;https://www.hopetechnik.com/;Deliver high performance engineering solutions. From creating a laparoscopic robot the size of a fingernail, to having autonomous robots run in global manufacturing plants. Hiring ROS engineers ([Software Engineer (Robotics)](https://nodeflair.com/jobs/hope-technik-software-engineer-robotics-49145)).
Hstar Technologies;http://hstar.ishopworld.com/;Specialize in design, development and commercialization of technology-based solutions that incorporate medical robotics and biomedical engineering. Hiring engineers with experience in ROS ([Robotics Application Software Engineer](https://jobs.smartrecruiters.com/HstarTechnologies/84231240-robotics-application-software-engineer)).
Humatics;http://www.humatics.com;Create precise location and navigation data in places where these capabilities do not exist today to support multiple use cases in� manufacturing, transportation, robotics, surgical, and more.. ROS drivers for the Piksi RTK GPS module (see [`ethz_piksi_ros`](https://github.com/Humatics/ethz_piksi_ros)).
Husarion;https://husarion.com/#custom-robot;A tech company which manufactures autonomous mobile robot platforms based on ROS & ROS 2 (see [`husarion`](https://github.com/husarion))[^97].
Husarnet;https://husarnet.com/robotics.html;Peer-to-peer VPN network dedicated for robots, autonomous vehicles and industry 4.0 applications. It provides secure data link between connected devices such as: robots, servers, laptops, cell phones, microcontrollers and more. ROS 2 and DDS Implementation [^96]
Hydromea;https://hydromea.com/;Build a ecosystem of autonomous collaborating underwater drones to disrupt the submerged asset inspections in the offshore and onshore industries. Hiring engineers with experience in ROS ([Robotics Software Engineer](https://www.hydromea.com/jobs/robotics-software-engineer)).
Hyperspec AI;https://hyperspec.ai/;Develop advanced driver assistance systems vision technology designed with real-time maps for scalable autonomy. Hiring engineers with experience in ROS ([ROS Developer Intern](https://www.linkedin.com/jobs/view/3724454141)).
Hyundai;https://www.hyundai.com/eu.html;Automotive manufacturer with various vehicle lineups, brand vision, and global campaigns. ROS packages for Hyundai (see [`HYUNDAI-Robotics-Autonomous-Engineering`](https://github.com/HYUNDAI-Robotics-Autonomous-Engineering)).
IAV;https://www.iav.com/en/;Develop computer app systems for the automotive industry. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^140].
IBRobotics (Intelligent Behavior Robots);http://www.ibrobotics.com;With a focus on utilizing technologies such as [ROS/ROS2](http://www.ibrobotics.com/), C++, and Python, IBRobotics offers comprehensive solutions for clients looking to develop cutting-edge robotics systems.
iFollow;https://www.ifollow.fr/;Develop collaborative autonomous robots for the logistics industry and the retail industry. ROS Perception package (depthimage_to_laserscan) that converts a depth image to a laser scan for use with navigation and localization for iFollow (see [`ifollow-robotics/depthimage_to_laserscan`](https://github.com/ifollow-robotics/depthimage_to_laserscan)).
